run_name,model_name,dataset,shape_mode,k,f,fan_out_list_hit,fan_out_list_miss,batch_size,temperature,numseqs,output_len,official_end_to_end_throughput,metrics_decode_throughput,metrics_avg_accepted_suffix_lens_with_recovery,metrics_avg_accepted_suffix_lens_on_hit,metrics_avg_accepted_suffix_lens_on_miss,metrics_avg_cache_hits,metrics_avg_target_verify_time_ms,metrics_decode_tokens_per_target_verify_second,metrics_accepted_suffix_tokens_per_target_verify_second,metrics_spec_steps
async_qwen8b_k4_f2_n1_o16,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,1,16,10.019119508874185,30.355009326695733,3.0,2.75,3.5,0.6666666666666666,67.07796438907583,44.724076338973894,44.724076338973894,6
async_qwen8b_k6_f3_n1_o16,Qwen3-8B,gsm,async_ssd,6,3,,,1,0.0,1,16,7.968912285026611,28.325957063114796,3.0,2.25,4.5,0.6666666666666666,67.13360998158653,44.68700552261144,44.68700552261144,6
async_qwen8b_k8_f4_n1_o16,Qwen3-8B,gsm,async_ssd,8,4,,,1,0.0,1,16,6.844025276919498,29.985178431031102,3.6,2.3333333333333335,5.5,0.6,72.99986444413662,49.31516006793289,49.31516006793289,5
