run_name,model_name,dataset,shape_mode,k,f,fan_out_list_hit,fan_out_list_miss,batch_size,temperature,numseqs,output_len,official_end_to_end_throughput,metrics_decode_throughput,metrics_avg_accepted_suffix_lens_with_recovery,metrics_avg_accepted_suffix_lens_on_hit,metrics_avg_accepted_suffix_lens_on_miss,metrics_avg_cache_hits,metrics_avg_target_verify_time_ms,metrics_decode_tokens_per_target_verify_second,metrics_accepted_suffix_tokens_per_target_verify_second,metrics_spec_steps
qwen_size8_normal_jit_b1_k6_f3_nodraft_temp0.0_gsm,Qwen3-8B,gsm,ar,,,,,1,0.0,2,32,13.593737659514153,16.539323264877886,,,,,,,,
qwen_size8_spec_async_jit_b1_k4_f2_draft0.6_temp0.0_gsm,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,1,16,4.1382812417619155,6.556710264284862,3.0,2.75,3.5,0.6666666666666666,98.50796094785134,30.454391412975806,30.454391412975806,6
qwen_size8_spec_async_jit_b1_k4_f2_draft0.6_temp0.0_gsm,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,1,16,9.88519283228163,27.936499427601667,3.0,2.75,3.5,0.6666666666666666,68.33812835005422,43.89935856353636,43.89935856353636,6
qwen_size8_spec_jit_b1_k4_f3_draft0.6_temp0.0_gsm,Qwen3-8B,gsm,sync_sd,4,,,,1,0.0,2,32,8.22589441032065,31.04907874011368,3.090909090909091,,,,67.56858991205014,45.74476239525401,45.74476239525401,22
