B,k,runs,avg_suffix_mean,cache_hit_mean,verify_ms_mean,decode_throughput_mean,official_throughput_mean,draft_total_ms_mean,draft_detail_total_ms_mean,draft_decode_tree_ms_mean,draft_detail_avg_step_ms_mean,draft_build_tree_ms_mean,draft_service_ms_mean
16,2,3,2.266209227931716,0.8242635850291352,19.708357310418922,83.60535403274174,63.13545390882067,16.977267,5.666722,7.6064516666666675,2.8332756666666667,4.5288216666666665,4.702747
24,2,3,2.265442616529573,0.8532151716934325,19.698747591347058,85.36775793042214,64.05108038731622,15.802971666666666,5.34125,7.053050333333334,2.6711036666666668,4.346629,4.286269666666667
36,2,3,2.266209227931716,0.8790190799760178,19.798124733944558,83.94090490216851,63.10000453370386,17.3548,5.894844666666667,7.882297,2.947334,4.750867666666667,4.583521
48,2,3,2.266209227931716,0.8963826810716763,19.583100224081647,85.3549603412655,64.45040619482742,16.424656333333335,5.977934666666667,7.772882666666667,2.989122666666667,4.402590666666668,4.129944666666667
64,2,3,2.2721550497866287,0.9075667773036195,19.726705113799735,85.2579851965236,63.810120454355406,17.143094333333334,6.295739,8.276087333333335,3.1477610000000005,4.612735,4.115588666666667
16,3,3,2.707128913245935,0.7615069131026577,19.871118359048925,93.70894552929009,67.91609004847398,20.997786,8.474632999999999,10.735083666666668,2.824806666666667,4.783664666666667,5.340089666666667
24,3,3,2.706683199711119,0.8067260244742775,19.99171000519087,93.18208400077658,67.4065847684426,21.293827,8.157026333333333,10.587556666666666,2.719102,5.058414666666667,5.49485
36,3,3,2.707128913245935,0.8309737445375743,19.958922954871365,94.62952168678943,68.04419019265652,21.365870666666666,8.879464333333333,11.266298333333333,2.959813666666667,4.894819333333333,5.061891666666667
48,3,3,2.7160617793216577,0.8615830197327158,19.51988256479719,97.63498725485384,72.38065369901966,20.19404833333333,9.016151666666667,11.153733,3.005197666666666,4.508957333333334,4.407395666666667
64,3,3,2.7160617793216577,0.8719318401119313,19.869850240677476,98.54621303633353,70.57195672357751,21.536471000000002,9.463070333333333,12.003381333333332,3.154189,4.766130333333334,4.617543
16,4,3,3.0237803353277344,0.6865578183163678,19.864082245969758,103.78800906784433,74.1467925921571,24.72689,11.278231,13.733702666666666,2.8193026666666667,4.533400333333334,6.3288839999999995
24,4,3,3.012018774247809,0.7679701324265745,20.004068165184865,104.27943670860941,69.95769091441828,23.985056,10.712578333333333,13.159967666666667,2.6780379999999995,4.769070333333333,5.923551333333333
36,4,3,3.0237803353277344,0.7936963915775692,20.1293560895836,102.2654502619461,71.5054842050866,25.615020666666666,11.856531333333335,14.67338,2.964342,4.934924666666667,5.861525333333333
48,4,3,3.0237803353277344,0.8205201706930798,19.74557639869768,111.1940297831781,76.95226952905449,23.996544999999998,11.922779666666665,14.370606666666667,2.980915,4.482811333333333,5.011107
64,4,3,3.0138283792536096,0.8438127305567958,19.708104305972586,110.66080504683755,78.16589170820302,24.546074,12.487275333333335,15.03465,3.1218063333333332,4.562096666666666,4.81818
16,5,3,3.2403265107212476,0.6583576998050682,20.172065584584487,99.64693677157199,70.07186378602776,30.055620333333334,14.225899666666669,17.303065999999998,2.84512,4.842000666666666,7.752378333333333
