run_name,model_name,dataset,shape_mode,k,f,fan_out_list_hit,fan_out_list_miss,batch_size,temperature,numseqs,output_len,official_end_to_end_throughput,metrics_decode_throughput,metrics_avg_accepted_suffix_lens_with_recovery,metrics_avg_accepted_suffix_lens_on_hit,metrics_avg_accepted_suffix_lens_on_miss,metrics_avg_cache_hits,metrics_avg_target_verify_time_ms,metrics_decode_tokens_per_target_verify_second,metrics_accepted_suffix_tokens_per_target_verify_second,metrics_spec_steps
async_qwen8b_k4_f2_n2_o32,Qwen3-8B,gsm,async_ssd,4,2,,,1,0.0,2,32,22.434554411986426,36.58173017502412,3.090909090909091,3.25,2.6666666666666665,0.7272727272727273,65.22157007235695,47.39090284824529,47.39090284824529,22
async_qwen8b_k6_f3_n2_o32,Qwen3-8B,gsm,async_ssd,6,3,,,1,0.0,2,32,16.75041219977807,32.1705499377185,3.473684210526316,3.3333333333333335,4.0,0.7894736842105263,65.40992708974763,53.10637643365883,53.10637643365883,19
async_qwen8b_k8_f4_n2_o32,Qwen3-8B,gsm,async_ssd,8,4,,,1,0.0,2,32,18.9113367083685,42.01589389351557,3.823529411764706,3.6923076923076925,4.25,0.7647058823529411,66.62280041286174,57.39070390422318,57.39070390422318,17
