alpha,r,a,b,t_v,t_b,e_miss,l_hit,num_valid_k,is_unimodal,best_k,best_mu,first_valid_k,last_valid_k,invalid_reasons,enough_valid,valid_unimodal
0.5,0.3,0.05,0.1,80.0,1.0,1.0,1.0,7,True,2,1.2868068891230644,1,7,fanout,True,True
0.5,0.3,0.05,0.1,80.0,2.0,1.0,1.0,7,True,2,1.0856589842217905,1,7,fanout,True,True
0.5,0.3,0.1,0.01,10.0,0.5,1.0,1.0,8,True,3,1.461996227929142,1,8,fanout,True,True
0.5,0.3,0.1,0.01,10.0,1.0,1.0,1.0,8,True,3,1.3124644317816505,1,8,fanout,True,True
0.5,0.3,0.1,0.01,10.0,2.0,1.0,1.0,8,True,2,1.113306083857671,1,8,fanout,True,True
0.5,0.3,0.1,0.01,20.0,0.5,1.0,1.0,9,True,4,1.5369601054076647,1,9,fanout,True,True
0.5,0.3,0.1,0.01,20.0,1.0,1.0,1.0,9,True,3,1.4016368910174601,1,9,fanout,True,True
0.5,0.3,0.1,0.01,20.0,2.0,1.0,1.0,9,True,2,1.2032558766857262,1,9,fanout,True,True
0.5,0.3,0.1,0.01,40.0,0.5,1.0,1.0,10,True,4,1.606535837288022,1,10,fanout,True,True
0.5,0.3,0.1,0.01,40.0,1.0,1.0,1.0,10,True,3,1.4784418908800299,1,10,fanout,True,True
0.5,0.3,0.1,0.01,40.0,2.0,1.0,1.0,10,True,3,1.2921150854122259,1,10,fanout,True,True
0.5,0.3,0.1,0.01,80.0,0.5,1.0,1.0,11,True,5,1.6657873428984276,1,11,fanout,True,True
0.5,0.3,0.1,0.01,80.0,1.0,1.0,1.0,11,True,4,1.5534101782362235,1,11,fanout,True,True
0.5,0.3,0.1,0.01,80.0,2.0,1.0,1.0,11,True,3,1.3784734269039582,1,11,fanout,True,True
0.5,0.3,0.1,0.02,10.0,0.5,1.0,1.0,7,True,3,1.37957949474226,1,7,fanout,True,True
0.5,0.3,0.1,0.02,10.0,1.0,1.0,1.0,7,True,2,1.2288807940156241,1,7,fanout,True,True
0.5,0.3,0.1,0.02,10.0,2.0,1.0,1.0,7,True,2,1.0169085612224427,1,7,fanout,True,True
0.5,0.3,0.1,0.02,20.0,0.5,1.0,1.0,8,True,3,1.4636779465734862,1,8,fanout,True,True
0.5,0.3,0.1,0.02,20.0,1.0,1.0,1.0,8,True,3,1.3145216080626325,1,8,fanout,True,True
0.5,0.3,0.1,0.02,20.0,2.0,1.0,1.0,8,True,2,1.1146634201881793,1,8,fanout,True,True
0.5,0.3,0.1,0.02,40.0,0.5,1.0,1.0,9,True,4,1.5380505565272335,1,9,fanout,True,True
0.5,0.3,0.1,0.02,40.0,1.0,1.0,1.0,9,True,3,1.402527997276565,1,9,fanout,True,True
0.5,0.3,0.1,0.02,40.0,2.0,1.0,1.0,9,True,2,1.2038693630404012,1,9,fanout,True,True
