alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.7,0.8,0.6,0.6,2.628523,2.628523,0.0038445,0.061512,10,19.61302,0.09437,False,4,6,5,3,2.394041848285459,1.0453735995913649,1.7475107353347719,0.702137135743407,0.4205847290442393,2.5464122497986548,1.1170465484777439,2.5771361627798264,2.22739327632058,653.0,12.0,375.0,67.0,-1,1,True,True,
0.8,0.7,0.6,0.6,2.628523,2.628523,0.061512,0.0038445,10,19.61302,0.09437,False,6,4,3,5,2.394041848285459,1.0453735995913649,1.7475107353347719,0.702137135743407,0.4205847290442393,1.1170465484777439,2.5464122497986548,2.22739327632058,2.5771361627798264,12.0,653.0,67.0,375.0,1,-1,True,True,
0.65,0.75,0.6,0.6,2.628523,2.628523,0.0038445,0.061512,10,19.61302,0.09437,False,4,6,5,3,2.169510818426761,0.8732217593193459,1.5668633024677436,0.6936415431483978,0.4145631727185435,2.3255438073317194,1.0297003648456646,2.32875288467856,2.057579765146013,653.0,12.0,375.0,67.0,-1,1,True,True,
0.75,0.65,0.6,0.6,2.628523,2.628523,0.061512,0.0038445,10,19.61302,0.09437,False,6,4,3,5,2.169510818426761,0.8732217593193459,1.5668633024677436,0.6936415431483978,0.4145631727185435,1.0297003648456646,2.3255438073317194,2.057579765146013,2.32875288467856,12.0,653.0,67.0,375.0,1,-1,True,True,
0.7,0.8,0.6,0.6,2.628523,2.628523,0.005126,0.061512,10,19.61302,0.09437,False,4,6,5,3,2.394041848285459,1.0293680824791163,1.7228410436571084,0.6934729611779922,0.41444394282015684,2.5059800373390018,1.1170465484777439,2.5143368134339785,2.22739327632058,489.0,12.0,281.0,67.0,-1,1,True,True,
0.8,0.7,0.6,0.6,2.628523,2.628523,0.061512,0.005126,10,19.61302,0.09437,False,6,4,3,5,2.394041848285459,1.0293680824791163,1.7228410436571084,0.6934729611779922,0.41444394282015684,1.1170465484777439,2.5059800373390018,2.22739327632058,2.5143368134339785,12.0,489.0,67.0,281.0,1,-1,True,True,
0.65,0.8,0.6,0.6,2.628523,2.628523,0.0038445,0.061512,10,19.61302,0.09437,False,4,6,5,3,2.3005670517578816,0.9546420992996448,1.646164849006871,0.6915227497072262,0.41306538264933124,2.3255438073317194,1.1170465484777439,2.32875288467856,2.22739327632058,653.0,12.0,375.0,67.0,-1,1,True,True,
0.8,0.65,0.6,0.6,2.628523,2.628523,0.061512,0.0038445,10,19.61302,0.09437,False,6,4,3,5,2.3005670517578816,0.9546420992996448,1.646164849006871,0.6915227497072262,0.41306538264933124,1.1170465484777439,2.3255438073317194,2.22739327632058,2.32875288467856,12.0,653.0,67.0,375.0,1,-1,True,True,
0.6,0.75,0.6,0.6,2.628523,2.628523,0.0038445,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.078360733207351,0.7857313995906872,1.4765982294618931,0.690866829871206,0.41260202982702454,2.1307276638219785,1.0297003648456646,2.127755798714186,2.057579765146013,653.0,12.0,634.0,67.0,-1,1,True,True,
0.75,0.6,0.6,0.6,2.628523,2.628523,0.061512,0.0038445,10,19.61302,0.09437,False,6,4,3,4,2.078360733207351,0.7857313995906872,1.4765982294618931,0.690866829871206,0.41260202982702454,1.0297003648456646,2.1307276638219785,2.057579765146013,2.127755798714186,12.0,653.0,67.0,634.0,1,-1,True,True,
0.6,0.75,0.6,0.6,2.628523,2.628523,0.005126,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.078360733207351,0.7709583308169341,1.4615936614175864,0.6906353306006523,0.4124385311199211,2.0994816455626477,1.0297003648456646,2.0960680669193263,2.057579765146013,489.0,12.0,475.0,67.0,-1,1,True,True,
0.75,0.6,0.6,0.6,2.628523,2.628523,0.061512,0.005126,10,19.61302,0.09437,False,6,4,3,4,2.078360733207351,0.7709583308169341,1.4615936614175864,0.6906353306006523,0.4124385311199211,1.0297003648456646,2.0994816455626477,2.057579765146013,2.0960680669193263,12.0,489.0,67.0,475.0,1,-1,True,True,
0.65,0.75,0.6,0.6,2.628523,2.628523,0.005126,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.169510818426761,0.8577476393664119,1.5483054270178855,0.6905577876514737,0.4123837698568972,2.2898350567767145,1.0297003648456646,2.2859347146797724,2.057579765146013,489.0,12.0,475.0,67.0,-1,1,True,True,
0.75,0.65,0.6,0.6,2.628523,2.628523,0.061512,0.005126,10,19.61302,0.09437,False,6,4,3,4,2.169510818426761,0.8577476393664119,1.5483054270178855,0.6905577876514737,0.4123837698568972,1.0297003648456646,2.2898350567767145,2.057579765146013,2.2859347146797724,12.0,489.0,67.0,475.0,1,-1,True,True,
0.6,0.75,0.6,0.6,2.628523,2.628523,0.007689,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.078360733207351,0.7455358676346864,1.4358103918228566,0.6902745241881703,0.41218374566303645,2.0467803870077153,1.0297003648456646,2.0427153383591974,2.057579765146013,326.0,12.0,317.0,67.0,-1,1,True,True,
0.75,0.6,0.6,0.6,2.628523,2.628523,0.061512,0.007689,10,19.61302,0.09437,False,6,4,3,4,2.078360733207351,0.7455358676346864,1.4358103918228566,0.6902745241881703,0.41218374566303645,1.0297003648456646,2.0467803870077153,2.057579765146013,2.0427153383591974,12.0,326.0,67.0,317.0,1,-1,True,True,
0.65,0.75,0.6,0.6,2.628523,2.628523,0.007689,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.169510818426761,0.8311061869350234,1.5212846951995758,0.6901785082645524,0.4121159512270568,2.2296359810101984,1.0297003648456646,2.224994123272216,2.057579765146013,326.0,12.0,317.0,67.0,-1,1,True,True,
0.75,0.65,0.6,0.6,2.628523,2.628523,0.061512,0.007689,10,19.61302,0.09437,False,6,4,3,4,2.169510818426761,0.8311061869350234,1.5212846951995758,0.6901785082645524,0.4121159512270568,1.0297003648456646,2.2296359810101984,2.057579765146013,2.224994123272216,12.0,326.0,67.0,317.0,1,-1,True,True,
0.6,0.75,0.6,0.6,2.628523,2.628523,0.0115335,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.078360733207351,0.7131793976189427,1.4029176317853222,0.6897382341663796,0.41180512640187095,1.9816137650798875,1.0297003648456646,1.9766178171814526,2.057579765146013,217.0,12.0,211.0,67.0,-1,1,True,True,
0.75,0.6,0.6,0.6,2.628523,2.628523,0.061512,0.0115335,10,19.61302,0.09437,False,6,4,3,4,2.078360733207351,0.7131793976189427,1.4029176317853222,0.6897382341663796,0.41180512640187095,1.0297003648456646,1.9816137650798875,2.057579765146013,1.9766178171814526,12.0,217.0,67.0,211.0,1,-1,True,True,
0.65,0.75,0.6,0.6,2.628523,2.628523,0.0115335,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.169510818426761,0.7971740548188571,1.4867881751152052,0.6896141202963482,0.41171751682130614,2.155248872175561,1.0297003648456646,2.1495483585981705,2.057579765146013,217.0,12.0,211.0,67.0,-1,1,True,True,
0.75,0.65,0.6,0.6,2.628523,2.628523,0.061512,0.0115335,10,19.61302,0.09437,False,6,4,3,4,2.169510818426761,0.7971740548188571,1.4867881751152052,0.6896141202963482,0.41171751682130614,1.0297003648456646,2.155248872175561,2.057579765146013,2.1495483585981705,12.0,217.0,67.0,211.0,1,-1,True,True,
0.65,0.75,0.6,0.6,2.628523,2.628523,0.015378,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.169510818426761,0.7679987347300419,1.456780907332281,0.6887821726022392,0.411130401375681,2.093277213734843,1.0297003648456646,2.0860044430655584,2.057579765146013,163.0,12.0,158.0,67.0,-1,1,True,True,
0.75,0.65,0.6,0.6,2.628523,2.628523,0.061512,0.015378,10,19.61302,0.09437,False,6,4,3,4,2.169510818426761,0.7679987347300419,1.456780907332281,0.6887821726022392,0.411130401375681,1.0297003648456646,2.093277213734843,2.057579765146013,2.0860044430655584,12.0,163.0,67.0,158.0,1,-1,True,True,
0.6,0.8,0.6,0.6,2.628523,2.628523,0.0038445,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.209416966538472,0.8671517395709861,1.5558997760010205,0.6887480364300343,0.41110631628603234,2.1307276638219785,1.1170465484777439,2.127755798714186,2.22739327632058,653.0,12.0,634.0,67.0,-1,1,True,True,
0.8,0.6,0.6,0.6,2.628523,2.628523,0.061512,0.0038445,10,19.61302,0.09437,False,6,4,3,4,2.209416966538472,0.8671517395709861,1.5558997760010205,0.6887480364300343,0.41110631628603234,1.1170465484777439,2.1307276638219785,2.22739327632058,2.127755798714186,12.0,653.0,67.0,634.0,1,-1,True,True,
0.6,0.8,0.6,0.6,2.628523,2.628523,0.005126,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.209416966538472,0.8523786707972331,1.5408952079567138,0.6885165371594807,0.4109429906972064,2.0994816455626477,1.1170465484777439,2.0960680669193263,2.22739327632058,489.0,12.0,475.0,67.0,-1,1,True,True,
0.8,0.6,0.6,0.6,2.628523,2.628523,0.061512,0.005126,10,19.61302,0.09437,False,6,4,3,4,2.209416966538472,0.8523786707972331,1.5408952079567138,0.6885165371594807,0.4109429906972064,1.1170465484777439,2.0994816455626477,2.22739327632058,2.0960680669193263,12.0,489.0,67.0,475.0,1,-1,True,True,
0.65,0.8,0.6,0.6,2.628523,2.628523,0.005126,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.3005670517578816,0.9391679793467107,1.627606973557013,0.6884389942103022,0.410888287417366,2.2898350567767145,1.1170465484777439,2.2859347146797724,2.22739327632058,489.0,12.0,475.0,67.0,-1,1,True,True,
0.8,0.65,0.6,0.6,2.628523,2.628523,0.061512,0.005126,10,19.61302,0.09437,False,6,4,3,4,2.3005670517578816,0.9391679793467107,1.627606973557013,0.6884389942103022,0.410888287417366,1.1170465484777439,2.2898350567767145,2.22739327632058,2.2859347146797724,12.0,489.0,67.0,475.0,1,-1,True,True,
0.6,0.8,0.6,0.6,2.628523,2.628523,0.007689,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.209416966538472,0.8269562076149852,1.515111938361984,0.6881557307469988,0.41068847501627415,2.0467803870077153,1.1170465484777439,2.0427153383591974,2.22739327632058,326.0,12.0,317.0,67.0,-1,1,True,True,
0.8,0.6,0.6,0.6,2.628523,2.628523,0.061512,0.007689,10,19.61302,0.09437,False,6,4,3,4,2.209416966538472,0.8269562076149852,1.515111938361984,0.6881557307469988,0.41068847501627415,1.1170465484777439,2.0467803870077153,2.22739327632058,2.0427153383591974,12.0,326.0,67.0,317.0,1,-1,True,True,
0.65,0.8,0.6,0.6,2.628523,2.628523,0.007689,0.061512,10,19.61302,0.09437,False,4,6,4,3,2.3005670517578816,0.9125265269153222,1.6005862417387031,0.6880597148233809,0.41062075236346757,2.2296359810101984,1.1170465484777439,2.224994123272216,2.22739327632058,326.0,12.0,317.0,67.0,-1,1,True,True,
