alpha1,alpha2,r1,r2,a1,a2,b1,b2,capacity,t_v_base,t_v_slope,continuous_budget,k1_gs,k2_gs,k1_ssd,k2_ssd,gs_utility_gs_model,gs_utility_ssd_model,ssd_utility,utility_gap_abs,utility_gap_pct,gs_mu1_ssd_model,gs_mu2_ssd_model,ssd_mu1,ssd_mu2,gs_budget1_ssd_model,gs_budget2_ssd_model,ssd_budget1,ssd_budget2,gs_order,ssd_order,reversal,valid,invalid_reason
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.0038445,8,19.61302,0.09437,False,4,4,4,4,1.6706818925262412,1.5110313493845944,1.5110313493845944,0.0,0.0,2.1287089617092056,2.1287089617092056,2.1287089617092056,2.1287089617092056,640.0,640.0,640.0,640.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.005126,8,19.61302,0.09437,False,4,4,4,4,1.6706818925262412,1.4961687132714148,1.4961687132714148,0.0,0.0,2.1287089617092056,2.0973046882576583,2.1287089617092056,2.0973046882576583,640.0,480.0,640.0,480.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.007689,8,19.61302,0.09437,False,4,4,4,4,1.6706818925262412,1.4704681638621437,1.4704681638621437,0.0,0.0,2.1287089617092056,2.044089563559407,2.1287089617092056,2.044089563559407,640.0,320.0,640.0,320.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.0115335,8,19.61302,0.09437,False,4,4,4,4,1.6706818925262412,1.4377568180914189,1.4377568180914189,0.0,0.0,2.1287089617092056,1.9783064361072598,2.1287089617092056,1.9783064361072598,640.0,213.0,640.0,213.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.015378,8,19.61302,0.09437,False,4,4,4,3,1.6706818925262412,1.4096592876786955,1.4140348823553632,0.0043755946766677045,0.002190192313185389,2.1287089617092056,1.923494556072197,2.127755798714186,1.9327948683183285,640.0,160.0,634.0,268.0,0,1,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.023067,8,19.61302,0.09437,False,4,4,4,3,1.6706818925262412,1.3601070053486575,1.3821801786873185,0.02207317333866099,0.011097714465747987,2.1287089617092056,1.8305039851459948,2.127755798714186,1.8721965553063462,640.0,106.0,634.0,179.0,0,1,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.030756,8,19.61302,0.09437,False,4,4,4,3,1.6706818925262412,1.3187849148056463,1.354270080025267,0.03548516521962064,0.0179009172643589,2.1287089617092056,1.7564052347962782,2.127755798714186,1.820665823681446,640.0,80.0,634.0,134.0,0,1,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.061512,8,19.61302,0.09437,False,4,4,4,2,1.6706818925262412,1.1832090882297104,1.270812569022508,0.08760348079279767,0.044775197637129206,2.1287089617092056,1.5337157923798068,2.1267886338521755,1.675647085937372,640.0,40.0,628.0,121.0,0,1,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.0038445,0.07689,8,19.61302,0.09437,False,4,4,4,2,1.6706818925262412,1.1266333432986373,1.2491485190152953,0.12251517571665804,0.06317273930762009,2.1287089617092056,1.4493536067722377,2.1267886338521755,1.6397361760448483,640.0,32.0,628.0,97.0,0,1,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.005126,0.0038445,8,19.61302,0.09437,False,4,4,4,4,1.6706818925262412,1.4961687132714148,1.4961687132714148,0.0,0.0,2.0973046882576583,2.1287089617092056,2.0973046882576583,2.1287089617092056,480.0,640.0,480.0,640.0,0,0,False,True,
0.6,0.6,0.6,0.6,2.628523,2.628523,0.005126,0.005126,8,19.61302,0.09437,False,4,4,4,4,1.6706818925262412,1.481306077158235,1.481306077158235,0.0,0.0,2.0973046882576583,2.0973046882576583,2.0973046882576583,2.0973046882576583,480.0,480.0,480.0,480.0,0,0,False,True,
