model_name,dataset,shape_mode,k,f,fanout_budget,fan_out_list_hit,fan_out_list_miss,runs,total_spec_steps,avg_suffix_mean,avg_suffix_std,cache_hit_mean,cache_hit_std,verify_ms_mean,verify_ms_std,suffix_per_verify_sec_mean,suffix_per_verify_sec_std,decode_tokens_per_verify_sec_mean,decode_tokens_per_verify_sec_std,decode_throughput_mean,decode_throughput_std,official_throughput_mean,official_throughput_std
Qwen3-8B,alpaca,async_ssd,2,1,16,4 4 8,4 4 8,3,341,2.2831012004740816,0.07170232084809634,0.8157470424419576,0.025817133030758017,31.469675609355658,0.25737765991119455,72.54938613463953,2.2173343073649394,72.54938613463953,2.2173343073649394,52.32100864096949,2.737296874758021,39.52240467324216,2.083668295101586
Qwen3-8B,alpaca,async_ssd,2,1,24,6 6 12,6 6 12,3,343,2.2708601458601456,0.09229304832157949,0.8572822822822822,0.015424776644909845,31.236946315023967,0.15754325730199348,72.69985280349637,3.0093064176776165,72.69985280349637,3.0093064176776165,56.363279058657945,2.0294786840638803,44.335387684837855,2.110958303975868
Qwen3-8B,alpaca,async_ssd,2,1,36,10 8 18,10 8 18,3,343,2.2699579831932772,0.0742239110375191,0.8863795518207284,0.013839393679251884,31.173880457883328,0.07948671418007269,72.81909018809473,2.509778131685914,72.81909018809473,2.509778131685914,56.32390324307,3.0524840882805004,43.88978046552171,2.8529969482869957
Qwen3-8B,alpaca,async_ssd,4,1,16,3 3 3 2 5,3 3 3 2 5,3,265,2.9743000913135553,0.18784474075365076,0.6937440500475995,0.02353650859768194,31.425725515523713,0.37989067248098146,94.6282034394962,5.469726153606858,94.6282034394962,5.469726153606858,66.24520650585377,1.409548588841535,47.39706910093921,3.9102530300361784
Qwen3-8B,alpaca,async_ssd,4,1,24,5 4 4 4 7,5 4 4 4 7,3,263,2.9987690700884033,0.20902836934579686,0.7569423203650515,0.016913045962233905,31.40698768310489,0.11644303915664025,95.46568822660119,6.322895756933041,95.46568822660119,6.322895756933041,69.46424375786307,5.301486900446312,50.20847784323266,5.753340235530679
Qwen3-8B,alpaca,async_ssd,4,1,36,7 7 6 5 11,7 7 6 5 11,3,265,2.9743000913135553,0.18784474075365076,0.8144761127625264,0.015242500966533686,31.35681215662684,0.16598462332677155,94.83399910646101,5.50600656264504,94.83399910646101,5.50600656264504,72.55320525048356,3.5291835721686655,50.74829281499601,1.3554726955766718
Qwen3-8B,alpaca,async_ssd,6,1,16,3 2 2 2 2 2 3,3 2 2 2 2 2 3,3,240,3.3005939881594872,0.1943608863389265,0.6193726490694403,0.06883674853065624,31.74788794192853,0.07376508943797659,103.95932567829054,6.025098338404348,103.95932567829054,6.025098338404348,69.95539744108446,2.394348098178325,50.74335321722572,3.6665075728011525
Qwen3-8B,alpaca,async_ssd,6,1,24,4 4 3 3 3 2 5,4 4 3 3 3 2 5,3,239,3.320601360495407,0.2604446773694856,0.6850032587313071,0.03905005447385954,31.361628954600988,0.08482891966781086,105.86671248586059,8.020773841462171,105.86671248586059,8.020773841462171,73.42320341076172,6.718255597101102,53.02558936681847,4.8630270332155545
Qwen3-8B,alpaca,async_ssd,6,1,36,6 6 5 4 4 4 7,6 6 5 4 4 4 7,3,240,3.3069284319284318,0.25549321349056087,0.7645740145740145,0.04241190120678896,31.60150843356811,0.31645043018142,104.66163246560718,8.384977043097116,104.66163246560718,8.384977043097116,73.1705412476489,3.7149515056507774,48.39196465710368,5.616909154982274
Qwen3-8B,alpaca,async_ssd,8,1,16,3 2 2 2 2 1 1 1 2,3 2 2 2 2 1 1 1 2,3,228,3.529173954401792,0.36910852908831937,0.595735524256651,0.11478947246065892,33.3638346030024,0.4154842871824941,105.84419424830521,11.82008436319558,105.84419424830521,11.82008436319558,57.76490923169257,4.427299186581693,39.65935200675035,2.1464469306426355
Qwen3-8B,alpaca,async_ssd,8,1,24,4 3 3 3 2 2 2 2 3,4 3 3 3 2 2 2 2 3,3,227,3.547416744475568,0.3921188355060143,0.6421413009648304,0.08264947498249126,32.93518279700859,0.923397276523002,107.61428335312449,10.110082353168417,107.61428335312449,10.110082353168417,58.99360875841384,7.125700251719106,43.45933265523494,6.4956746733589155
Qwen3-8B,alpaca,async_ssd,8,1,36,6 5 4 4 4 3 3 2 5,6 5 4 4 4 3 3 2 5,3,228,3.529173954401792,0.36910852908831937,0.7308317223603056,0.07439587232673481,33.14334602438149,0.7823993095217466,106.55049180234549,11.714550781417893,106.55049180234549,11.714550781417893,61.32723705847244,6.862221008592059,43.50484279430915,3.5600137453478045
Qwen3-8B,alpaca,async_ssd,10,1,16,2 2 2 1 1 1 1 2 2 1 1,2 2 2 1 1 1 1 2 2 1 1,3,215,3.697932483880196,0.37175827482820784,0.4639257498734623,0.08535111031674279,34.045440277461374,0.025056499457526724,108.61321412224568,10.858706170243394,108.61321412224568,10.858706170243394,48.01942985425518,4.746565463605589,34.24112128230272,1.7008320887908532
Qwen3-8B,alpaca,async_ssd,10,1,24,4 3 3 2 2 2 2 1 1 1 3,4 3 3 2 2 2 2 1 1 1 3,3,214,3.7171745090484727,0.3861501493828842,0.6063034993383253,0.08948765806988182,34.083647857103294,0.2528663279204713,109.08880064500822,11.69255334103944,109.08880064500822,11.69255334103944,51.562574613030314,5.766165918996876,35.30478877401744,3.699909865532922
Qwen3-8B,alpaca,async_ssd,10,1,36,5 5 4 4 3 3 2 2 2 2 4,5 5 4 4 3 3 2 2 2 2 4,3,214,3.7182122041599164,0.3937640586224635,0.700749492579558,0.062174875631896144,34.077345929042224,0.3634675806860758,109.0508687982538,10.678342034374053,109.0508687982538,10.678342034374053,53.10805344389784,5.569870519023436,35.725100025816126,3.7742860154046523
